FID_1,aet,dtr,eto,frac,lulc,pawc,precip,wy,POINT_X,POINT_Y,POINT_Z
23,816.88799613,463.39285714,1925.33928571,0.35497472,9.87500000,0.15035715,1925.42606899,1485.05410985,736661.36057000000,9267313.55860000000,0.00000000000
24,739.32036124,430.55555556,1918.80555556,0.32161690,9.23611111,0.15458334,1937.73916626,1558.39680650,736625.18389300000,9265266.21223000000,0.00000000000
25,764.21443834,1027.69230769,1868.73076923,0.35228359,8.28461538,0.14850000,1747.06857628,1411.53806974,734839.92696700000,9263908.06666000000,0.00000000000
26,836.60130029,665.22988506,1872.08908046,0.32921017,4.75287356,0.14172414,2286.00598671,1701.56451276,742530.38596400000,9268140.93664000000,0.00000000000
27,936.74859298,1184.53947368,1918.50000000,0.34736751,7.05921053,0.12177632,2482.92118595,1757.42414374,740262.79575200000,9271689.50456000000,0.00000000000
28,817.42692675,400.00000000,1947.98214286,0.33066498,9.00000000,0.15142858,2155.02766854,1656.35268075,737220.89613500000,9269910.95298000000,0.00000000000
29,738.72028676,439.60396040,1963.03960396,0.28354729,9.74257426,0.14990099,2314.12951056,1869.37979942,736037.07074700000,9272408.99360000000,0.00000000000
30,821.87929862,931.25000000,1893.01190476,0.34340301,8.11904762,0.13166667,1966.54255676,1582.70452372,732103.81211600000,9270563.85703000000,0.00000000000
31,878.49766341,1449.31034483,1904.91034483,0.35184850,8.29655172,0.11193103,2065.66510052,1623.68923929,731254.88079400000,9272887.60523000000,0.00000000000
32,944.47408378,1500.00000000,1890.12953368,0.37539337,8.25906736,0.11000000,1808.94719795,1573.68341665,722812.49032000000,9274893.47269000000,0.00000000000
33,991.42691149,1500.00000000,1944.12500000,0.35912455,9.64285714,0.11000000,2147.87929644,1762.43971579,723410.95107100000,9277483.06766000000,0.00000000000
34,1090.87499390,1500.00000000,1973.40000000,0.37425905,10.85000000,0.11000000,2400.87801514,1821.84501038,727839.76171200000,9281474.58256000000,0.00000000000
35,824.64518183,1130.11363636,1971.39772727,0.27918564,10.19318182,0.12409091,2608.82782815,2128.90341603,729583.20834600000,9279900.89102000000,0.00000000000
36,820.29752808,1155.00000000,1983.11428571,0.26807358,9.92857143,0.12314286,2738.78185338,2237.60842808,730719.83863800000,9281716.60329000000,0.00000000000
37,1045.88261887,993.10344828,1994.79310345,0.33185779,9.65517241,0.12931035,2851.16966090,2104.15758856,731033.93319500000,9284071.52694000000,0.00000000000
38,1108.07336426,1400.00000000,1998.00000000,0.35007299,11.00000000,0.13000000,2810.32332357,2057.25329590,729854.75951000000,9285172.76797000000,0.00000000000
40,1052.84460892,1119.56521739,1997.82608696,0.33086091,10.08695652,0.14420290,2952.30028235,2128.89506907,731681.09464200000,9285582.20100000000,0.00000000000
41,989.91699845,757.69230769,1993.37179487,0.31519721,10.35897436,0.15820513,2914.64718237,2146.62000451,733499.16245200000,9283672.02888000000,0.00000000000
