,2020_dem_mean,2020_depth_to_root_mean,2020_eto_mean,2020_fractp_mean,2020_pawc_mean,2020_precipitation_mean
0,1837.818219895288,710.4616603923123,876.3741967375186,0.24298207637186386,0.19882307965282595,2120.059250539533
1,1629.2470373746582,1500.0,1523.8548185231539,0.49022222043450037,0.11000000785860381,1545.6284432387313
2,665.8924025309074,1412.4893249587453,1788.2695177994829,0.45493567606677665,0.12063563146802604,1728.290645054074
3,129.17904247934254,920.7156641260055,1977.3163017545342,0.3356311476653717,0.1365083466887391,2784.1996495154444
4,338.11200852045795,842.8134995366634,1891.8113412847877,0.42865433406570413,0.14162605465130182,2049.406917167369
5,199.37107912077494,1260.0313900677536,1951.563091272485,0.3722253180136299,0.12398615202237362,2433.5550730241825
6,1965.675,700.0,,,0.2000000223572001,2544.2025547445255
7,938.7567567567568,871.4285714285714,1780.8,0.2758509397506714,0.17285713468279157,2715.1720982142856
8,1657.9198717948718,694.8170731707318,1721.875,0.19764389310564315,0.20025916215850087,2569.4527573529413
9,2388.4599774520857,700.0,,,0.20000002289636087,2513.507329842932
10,2746.225225225225,700.0,894.224,0.26388486504034186,0.20000001332645334,2431.0537605932204
11,1132.8789970930231,1500.0,1667.7406281661601,0.2817481924058967,0.11,2712.980285520054
12,1293.696014828545,1031.9542253521126,1613.539641943734,0.39517668506983294,0.17945422588939397,2476.9797713280564
13,909.4005279423127,1454.9151327923976,1734.5413733946866,0.2669324117760339,0.11284371038809232,2737.0954714404916
14,1151.858043099842,1118.5892357044656,1651.0744826517168,0.3768626529946234,0.16312285881250319,2425.935956829405
15,578.3139330891631,861.3990365082129,1863.4798225809964,0.34702280098728405,0.1479736200592025,2659.7122571380914
16,833.8605581841299,518.741275240361,1782.537540111215,0.3595883633253941,0.20425553223491477,2589.271254423909
17,878.7958954829155,536.9604693392932,1751.5635504755478,0.3478220490566391,0.20815199835870932,2649.9304635102594
18,419.4122389948477,167.06104983207462,1963.2046644049303,0.4030555816015139,0.16488431288038938,2540.4064987980973
19,299.14644041269383,166.21233302267785,1992.020347934141,0.46325748060830224,0.15822071124026774,2206.9934762348557
20,460.04196856657563,1155.2420002433387,1910.8825891227643,0.4365264871537494,0.12916167830446224,2165.348582552622
21,351.7803376199053,1170.9799814240262,1944.8603442483648,0.5314397043530028,0.14644803590572694,1875.884196589135
22,264.3166147989244,688.2466034350167,1993.9484462673388,0.4813473196865476,0.15477084534948304,2009.4232248141502
23,455.8656442966682,696.8467987967487,1911.8902566509505,0.5448229124442643,0.1720928009595076,1919.3193522923646
24,332.9955688027819,324.0572756578454,1979.2347252417721,0.4706930584774908,0.18800716970678086,2155.836419521703
25,478.0746257863909,487.76303673135294,1926.7502472630538,0.40429261184390025,0.20847039824272706,2339.0959380648683
26,985.8994987659975,558.7586206896551,1699.6860058414163,0.393893910766873,0.2070620783358321,2344.013912042312
27,1255.0438512199123,624.3991421053795,1583.134145532536,0.31876412579183894,0.203780072260486,2092.3925973422956
28,1323.863398381723,829.1098771664143,1516.2231489876096,0.367253974791059,0.18474495883637612,1918.6650785421016
29,708.9362746577341,968.5215510699651,1780.504780695098,0.46454795782981106,0.16333096739120123,1771.820913643952
30,413.0636249125262,1258.5011025576698,1896.5365164459351,0.4619552098325697,0.11890252236888146,1928.3260929845642
31,1287.3439894372536,721.8204112431616,1625.56654968112,0.4368156065441149,0.15217260746793057,1655.5383512544802
32,1705.859038901602,635.5021352142412,1435.11814935569,0.36903151667551537,0.18065066118168513,1715.6788279230107
33,1445.7748465905831,861.4969214542635,1579.760269063241,0.5008893705452232,0.17741008958996296,1690.6876700971468
